alpha_U_inv,clock_high,clock_low,alpha1_inv_mz,alpha2_inv_mz,alpha3_inv_mz,alpha_em_inv_mz,sin2theta_hat_mz,alpha3_mz,z_alpha_em_inv_mz,z_sin2theta_hat_mz,z_alpha3_mz,chi2_3obs
46.0,7,13,57.435838474569415,29.11335015433733,7.971083457488881,124.83974761195302,0.2332057754941329,0.12545346003879737,-386.2815485058739,33.09625823554828,8.614955598663746,150383.01448525686
47.0,5,13,60.67230094742661,30.0479565147801,8.971083457488879,131.16845809382446,0.22907913191513524,0.11146925616495298,404.807261728056,-35.6811347477462,-6.923048705607794,165189.99112803387
47.5,6,14,60.48415864808594,30.568077634643863,9.471083457488884,131.3750087147871,0.23267802555207923,0.10558454103889134,430.62608934838664,24.300425867986956,-13.461621067898513,186210.55476662592
45.5,6,12,57.45194519907493,28.598259314439503,7.471083457488881,124.35150131289772,0.22997920421145163,0.13384939489567846,-447.3123358877853,-20.679929809139704,17.9437721063094,200837.96429170098
47.0,5,14,61.12502614436127,30.034718935922356,8.971083457488882,131.9097625098578,0.22769140330821092,0.11146925616495294,497.4703137322258,-58.80994486315155,-6.92304870560784,250983.25126302632
46.0,7,12,56.86540472643175,29.130029503698076,7.971083457488884,123.90570404775099,0.2350983736186342,0.12545346003879732,-503.03699403112745,64.63956031056983,8.614955598663684,257298.70758098332
45.5,7,13,56.935838474569415,28.61335015433733,7.471083457488881,123.50641427861969,0.23167501316804576,0.13384939489567846,-552.94821517254,7.583552800762468,17.9437721063094,306131.2178929827
47.5,5,13,61.17230094742661,30.5479565147801,9.471083457488879,132.5017914271578,0.23054749815645842,0.10558454103889141,571.4739283947239,-11.208364059026495,-13.461621067898434,326889.29350155336
47.5,5,14,61.62502614436127,30.534718935922356,9.471083457488882,133.24309584319116,0.22916548690716051,0.10558454103889137,664.1369803988937,-34.24188488065823,-13.46162106789848,442431.6506553164
45.5,7,12,56.36540472643175,28.630029503698076,7.471083457488884,122.57237071441767,0.2335765339025987,0.1338493948956784,-669.7036606977917,39.2755650433114,17.94377210630934,450367.54211889755
