family,rank,name,objective,chi2,max_abs_z,log10_error,complexity,post_selection_penalty,certified_first_principles,post_selected,ratio_predicted_to_target,alpha_U_inv_value,M_U_GeV,M_I_GeV
vacuum_instanton,16,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^2 * exp(-(367/4)*pi),2.5801104736745692,,,0.03748953229847154,5.616468366982586,2.37412689036662,False,True,0.9172980445503298,,,
vacuum_instanton,17,auto vacuum ansatz: rho/M_Pl^4 = (2*pi)^2 * exp(-(365/4)*pi),2.58218118713841,,,0.04263865329448433,5.513854782576859,2.37412689036662,False,True,1.1031603737282711,,,
vacuum_instanton,18,auto vacuum ansatz: rho/M_Pl^4 = (2*pi)^-2 * exp(-(89)*pi),2.586438860762438,,,0.08023402399383096,4.402598213399566,2.37412689036662,False,True,0.8313156874822748,,,
vacuum_instanton,19,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^6*(8*pi) * exp(-(96)*pi),2.5882837091595996,,,0.03900972035182741,5.83823661470507,2.37412689036662,False,True,0.9140927820740322,,,
vacuum_instanton,20,auto vacuum ansatz: rho/M_Pl^4 = (4*pi)^2/(8*pi) * exp(-(272/3)*pi),2.5904522025403365,,,0.04034499134411145,5.866010694320176,2.37412689036662,False,True,1.0973495536850146,,,
vacuum_instanton,21,auto vacuum ansatz: rho/M_Pl^4 = (8*pi)^8 * exp(-(295/3)*pi),2.591404793887459,,,0.016134712312831524,6.704773040266922,2.37412689036662,False,True,0.9635301031744079,,,
vacuum_instanton,22,auto vacuum ansatz: rho/M_Pl^4 = (8*pi)^-2 * exp(-(88)*pi),2.592067768522022,,,0.08002234719210553,4.597284365443225,2.37412689036662,False,True,1.202326300302237,,,
vacuum_instanton,23,auto vacuum ansatz: rho/M_Pl^4 = (2*pi)^5 * exp(-(2*alpha_U^-1[46.5])*pi),2.59280594589983,,,0.04951963914562771,5.638647212919409,2.37412689036662,False,True,1.120778107477796,,,
vacuum_instanton,24,auto vacuum ansatz: rho/M_Pl^4 = (pi)^8 * exp(-(2*alpha_U^-1[46.5])*pi),2.594105585662325,,,0.035819278908123156,6.138647212919409,2.37412689036662,False,True,1.0859736280524794,,,
vacuum_instanton,25,auto vacuum ansatz: rho/M_Pl^4 = (pi)^-2 * exp(-(268/3)*pi),2.595928895723989,,,0.06703384938686079,5.158938532350277,2.37412689036662,False,True,1.1669005630226985,,,
